"","Plot","sensor","year","doy","cfmask","sr_band1","sr_band2","sr_band3","sr_band4","sr_band5","sr_band6","sr_band7"
"224",22,"LC8","2013","228",0,838,1032,1548,2100,3211,3577,3037
"225",21,"LC8","2013","228",0,800,981,1494,2008,3228,3539,2959
"226",21,"LC8","2013","228",0,854,1045,1568,2139,3247,3623,3086
"227",17,"LC8","2013","228",0,902,1101,1657,2251,3263,3756,3267
"228",18,"LC8","2013","228",0,871,1066,1594,2174,3176,3673,3182
"229",19,"LC8","2013","228",0,874,1074,1598,2189,3247,3659,3142
"230",12,"LC8","2013","228",0,739,924,1421,1858,3201,3516,2889
"231",24,"LC8","2013","228",0,766,955,1447,1925,3144,3556,2958
"232",9,"LC8","2013","244",0,583,728,1160,1453,2817,3063,2454
"233",9,"LC8","2013","244",0,816,1001,1547,2029,3153,3545,3034
"234",8,"LC8","2013","244",0,660,838,1284,1645,2980,3127,2535
"235",8,"LC8","2013","244",0,806,988,1534,2002,3117,3496,2986
"236",6,"LC8","2013","244",0,836,1023,1586,2078,3201,3583,3096
"237",5,"LC8","2013","244",0,792,989,1500,1971,3190,3392,2874
"238",5,"LC8","2013","244",0,795,990,1504,1978,3222,3455,2919
"239",5,"LC8","2013","244",0,836,1024,1581,2078,3187,3571,3064
"240",4,"LC8","2013","244",0,852,1036,1609,2115,3196,3574,3076
"241",3,"LC8","2013","244",0,842,1034,1577,2095,3217,3467,2987
"242",3,"LC8","2013","244",0,698,857,1365,1738,3122,3226,2637
"243",7,"LC8","2013","244",0,811,1001,1529,2016,3193,3495,2987
"244",7,"LC8","2013","244",0,798,987,1508,1984,3186,3507,2968
"245",2,"LC8","2013","244",0,749,916,1436,1865,3157,3255,2734
"246",1,"LC8","2013","244",0,729,920,1394,1815,3141,3280,2710
"247",1,"LC8","2013","244",0,752,921,1441,1872,3124,3380,2786
"248",16,"LC8","2013","244",0,842,1019,1564,2086,3122,3608,3141
"249",11,"LC8","2013","244",0,793,992,1493,1970,3138,3436,2940
"250",10,"LC8","2013","244",0,911,1103,1669,2262,3245,3616,3163
"251",14,"LC8","2013","244",0,810,1000,1537,2009,3105,3525,3021
"252",13,"LC8","2013","244",0,790,977,1489,1964,3156,3444,2904
"253",15,"LC8","2013","244",0,839,1033,1565,2081,3145,3595,3114
"254",15,"LC8","2013","244",0,880,1085,1616,2176,3139,3665,3199
"255",20,"LC8","2013","244",0,797,974,1496,1982,3091,3428,2934
"256",23,"LC8","2013","244",0,721,892,1387,1794,3131,3271,2709
"257",22,"LC8","2013","244",0,825,999,1543,2054,3186,3446,2928
"258",21,"LC8","2013","244",0,714,899,1364,1778,3108,3297,2716
"259",21,"LC8","2013","244",0,810,991,1505,2011,3141,3467,2955
"260",17,"LC8","2013","244",0,862,1059,1596,2136,3188,3612,3120
"261",18,"LC8","2013","244",0,776,952,1474,1930,3075,3494,2999
"262",19,"LC8","2013","244",0,827,1007,1545,2059,3173,3525,3026
"263",12,"LC8","2013","244",0,709,907,1356,1765,3133,3214,2656
"264",24,"LC8","2013","244",0,688,870,1314,1713,3021,3240,2674
"265",9,"LC8","2013","260",2,466,616,1005,1184,3030,2866,2054
"266",9,"LC8","2013","260",2,709,878,1365,1784,3253,3413,2654
"267",8,"LC8","2013","260",0,523,670,1096,1323,3044,2892,2127
"268",8,"LC8","2013","260",2,707,880,1376,1778,3196,3333,2618
"269",6,"LC8","2013","260",4,840,1091,1728,2114,3471,3554,2833
"270",5,"LC8","2013","260",4,737,891,1534,1858,3174,3265,2541
